Left Eye,Right Eye,Nose,Left Mouth,Right Mouth
1,3.162278,2.236068,1,3.162278
1.414214,1,1,1,0
1.414214,2.236068,3.162278,2,2
0,0,1.414214,0,0
1,1,2,1.414214,0
1,1,1,1.414214,0
1,10.198039,10.630146,9,14.764823
1.414214,1,1.414214,0,1
1.414214,1,1,1.414214,1
1.414214,1.414214,1.414214,1,1.414214
1.414214,1,0,1,2.236068
1.414214,1,1,2,1.414214
1.414214,1.414214,2.236068,1.414214,2
1.414214,1.414214,1,1.414214,2
1,0,2.236068,1,1
1,1,1,1.414214,1
1.414214,3.605551,4.472136,1,3.605551
1,2.236068,1.414214,0,1
1.414214,2,2,1,1
1.414214,2.828427,1.414214,2.236068,1.414214
1,1,1,1.414214,2.236068
1.414214,1,0,1,1
1.414214,2.236068,1,1,2
1.414214,2.236068,1.414214,1.414214,1.414214
1.414214,3.605551,2.236068,1,2.236068
1.414214,1,4,2.236068,1
1,0,1.414214,1,0
1.414214,1,2,0,0
1.414214,1,1.414214,1.414214,2.236068
1.414214,1,0,1,1.414214
1,5,2,1,3.162278
1.414214,1.414214,1,1.414214,2.236068
1.414214,1,1,1,0
1.414214,1.414214,1,1,1.414214
1.414214,2.236068,1,2,2.828427
0,0,1,0,1
1.414214,1.414214,2.236068,0,1
0,2,0,1,2
0,1.414214,1,1,1
1.414214,1,2,1,2
1.414214,1.414214,2,0,1
1.414214,2.236068,1,1.414214,2
1.414214,1,1.414214,1.414214,1.414214
1.414214,0,0,1.414214,0
1.414214,1.414214,2,1,1.414214
1,0,2,3,1
1,0,1,1,1
1.414214,1.414214,2.236068,1.414214,1
1.414214,1.414214,1.414214,1,1
1.414214,1,1,1,1
0,1.414214,0,1.414214,1
1,1,2,1,1
1,0,1.414214,1,1
1,0,4,1.414214,1.414214
1,1.414214,1,1,2
1.414214,1.414214,5,3,1.414214
0,1,0,0,1
1.414214,1,3.162278,1,1
0,2.828427,2.236068,1,2.236068
1.414214,2.236068,2.236068,2,2.828427
1.414214,2,2,3,3.605551
1.414214,1,0,1,1
1,0,0,0,1
0,2.236068,1,0,1
1,0,1.414214,0,1
1.414214,2.828427,3.605551,7.071068,6.324555
1.414214,1.414214,1,1,1
1,11.18034,4.123106,2.236068,3.162278
1.414214,0,2.236068,1.414214,0
1.414214,1,1.414214,1.414214,1.414214
1.414214,1.414214,3,1,1
1.414214,0,1.414214,1,1
1.414214,0,1,1,1
1.414214,1,1,1.414214,1.414214
1.414214,1.414214,2,1.414214,1
1.414214,2.236068,1.414214,1,1
1.414214,1.414214,0,1.414214,1
1.414214,1.414214,1,1,1.414214
1.414214,2,3.162278,2.236068,2
1.414214,2,1,0,0
1,2.236068,1.414214,1.414214,1.414214
1.414214,2,2,2.236068,3.162278
1.414214,1,2,1.414214,1.414214
1.414214,1,1.414214,2,2
1.414214,1.414214,1,1.414214,2.828427
1,1.414214,2,0,1
1.414214,0,1,1.414214,1
1.414214,1,0,1,0
1,1,1.414214,1,1.414214
1,0,0,0,1.414214
1.414214,0,1,0,2
1.414214,2,1,1,1
1.414214,0,1,0,1
1.414214,1,1,0,0
1,1.414214,1.414214,0,1
1.414214,1.414214,0,2.236068,1.414214
1.414214,1,2.236068,2.236068,2
1,3.162278,0,1.414214,3.162278
1,2.236068,2,1.414214,1.414214
2.236068,1,2.236068,0,1.414214
1,1,2,3,2.828427
1.414214,0,1,1.414214,2
1.414214,1,2,1.414214,2
1.414214,0,1,1.414214,1
1.414214,1,4,1,2.236068
1.414214,2.236068,1.414214,2,2.236068
0,1.414214,1,1,1.414214
1.414214,0,2,1,1
1.414214,1.414214,0,1.414214,2.236068
1.414214,4.123106,2.236068,1.414214,2.236068
1.414214,2.236068,1,1,0
1.414214,0,1.414214,2.236068,1.414214
1,1,0,2.236068,1
1,0,1.414214,1.414214,1.414214
1,0,3.162278,1,1
1.414214,1,3.162278,0,2
0,5,1,1,0
1.414214,1,1.414214,1.414214,0
1.414214,1,0,1.414214,1
1.414214,1,1,1,0
1.414214,2,2,1,1.414214
1,1,1.414214,3.605551,0
1.414214,1,2.828427,1.414214,1
1.414214,1,1,2.828427,1
1.414214,1,1.414214,0,1
1.414214,2,1,0,1
1.414214,0,2.236068,1,1.414214
1.414214,1,2.236068,1,2
1,1,5.09902,1.414214,0
1.414214,1,1,1,0
1.414214,1.414214,1,1.414214,1
0,1.414214,1.414214,1,1.414214
1.414214,1,2.828427,1,1
1.414214,0,1,0,2
1.414214,1,1,0,1
0,1,2.236068,0,1
0,1,2.236068,1,2
1.414214,1,3.605551,2.236068,4
1.414214,4,3.605551,3,2
1.414214,1,2,1,2.236068
1,1.414214,0,1.414214,0
1.414214,1.414214,1,1.414214,1
1.414214,1,2.236068,2.236068,0
1.414214,1,0,1.414214,2.236068
1.414214,0,0,1,2
1.414214,1,2.236068,0,1.414214
1.414214,1,2,1.414214,1.414214
0,2,2,0,1.414214
1.414214,1.414214,0,1,1
1.414214,1,1.414214,2.236068,1
1.414214,1.414214,2.236068,1,1
1,1,1,1.414214,1.414214
1.414214,1.414214,1,1.414214,1
1,1.414214,2,1,0
1,2,2,1.414214,2
1.414214,0,1,1,2
0,1,1,1,4.123106
1.414214,2,1,1.414214,0
1.414214,0,3,1,2
1.414214,0,2.236068,2,0
1.414214,1,1,0,1
1.414214,1.414214,1,1.414214,1
1.414214,0,1.414214,1,1
1.414214,1.414214,1.414214,1,1.414214
1.414214,1,1,1.414214,1
1.414214,0,2.236068,1.414214,1
1.414214,2.236068,2,0,2
1.414214,1,0,1,2
1.414214,1,2,0,3
1.414214,2.828427,3.162278,1.414214,3.162278
1,2.236068,1,1,1.414214
1,0,1,0,0
1,1.414214,2.236068,1,1
1.414214,0,1.414214,2,1
0,0,1,1,1.414214
3.162278,7.615773,7.615773,2.828427,12.041595
1,1,1,2.236068,2
1.414214,1.414214,0,1.414214,1
1,1.414214,2,0,1
1,1.414214,1.414214,1.414214,1
1.414214,0,1,0,1
1.414214,1,1,1,2
0,1.414214,1,1.414214,1.414214
1.414214,1,1.414214,1,1
1.414214,1,2.828427,1.414214,2.236068
